,VIC,VIC,VIC,VIC,VIC,NSW,NSW,NSW,QLD,QLD,SA,TAS,ACT
,City power,Jemena,United Energy,Powercor,Ausnet,Endevour,Essential Energy,Ausgrid,Energex,Ergon,SA Power Networks,TasNetworks,EvoEnergy
Total OnceOff,1125.31551,1172.284435,1155.536447,1421.423959,1369.273396,1270.855133,1389.76724,1245.55724,1163.881745,1603.154991,1741.885967,1902.883376,1334.476431
Monthly Base / Once Off,93.77629253,97.69036958,96.29470388,118.4519965,114.1061163,105.9045944,115.8139367,103.7964367,96.99014544,133.5962492,145.1571639,158.5736147,111.2063692
Once-Off High no.,135.4429592,139.3570363,137.9613706,160.1186632,155.772783,147.5712611,157.4806033,145.4631033,138.6568121,175.2629159,186.8238306,200.2402813,152.8730359
Total Weekly,1307.31551,1354.284435,1337.536447,1603.423959,1551.273396,1452.855133,1571.76724,1427.55724,1345.881745,1785.154991,1923.885967,2084.883376,1516.476431
Weekly',108.9429592,112.8570363,111.4613706,133.6186632,129.272783,121.0712611,130.9806033,118.9631033,112.1568121,148.7629159,160.3238306,173.7402813,126.3730359
Monthly - best competitor,123,126,131,155,145,126,139,122,121,197,168,218,139
VDO/Reference Price - Weekly,0.253815348,0.271890089,0.294548288,0.265831521,0.239571865,0.233726196,0.264153914,0.300217039,0.271709012,0.244858295,0.240171419,0.241308815,0.358512508
VDO/Reference Price - Once Off,0.357696626,0.369739551,0.390539849,0.349164854,0.328787551,0.329717757,0.349359906,0.389432726,0.370193861,0.321846451,0.312051356,0.307538801,0.435500664
